Codice Univoco submisura;CUP ;codice fiscale PROGRAMMATORE;Denominazione PROGRAMMATORE;forma giuridica PROGRAMMATORE;descrizione forma giuritica PROGRAMMATORE;Codice ATECO PROGRAMMATORE ;codice fiscale  ATTUATORE;Denominazione ATTUATORE;forma giuridica ATTUATORE;descrizione forma giuritica ATTUATORE;Codice ATECO ATTUTORE;codice fiscale BENEFICIARIO;Denominazione BENEFICIARIO;forma giuridica_BENEFICIARIO;descrizione forma giuritica  BENEFICIARIO;Codice ATECO BENEFICIARIO 
M1C2I5.01.01;E81B21009260006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;13685431002;VIC BEE S.R.L.;11;Società  a responsabilità  limitata;46.42.10;13685431002;VIC BEE S.R.L.;11;Società  a responsabilità  limitata;46.42.10
M1C2I5.01.01;E51B21007690006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;05487040726;ELMAX S.R.L.;11;Società  a responsabilità  limitata;27.12.00;05487040726;ELMAX S.R.L.;11;Società  a responsabilità  limitata;27.12.00
M1C2I5.01.01;E11B21008190006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03873410165;BSELFIE S.R.L.;11;Società  a responsabilità  limitata;46.45.00;03873410165;BSELFIE S.R.L.;11;Società  a responsabilità  limitata;46.45.00
M1C2I5.01.01;E41B21013080006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02223820156;LAYLA COSMETICS S.R.L.;11;Società  a responsabilità  limitata;20.42.00;02223820156;LAYLA COSMETICS S.R.L.;11;Società  a responsabilità  limitata;20.42.00
M1C2I5.01.01;E81B21015040006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01560130930;OLOJIN S.R.L. SOCIETA' BENEFIT;11;Società  a responsabilità  limitata;62.01.00;01560130930;OLOJIN S.R.L. SOCIETA' BENEFIT;11;Società  a responsabilità  limitata;62.01.00
M1C2I5.01.01;E81B21009270006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01811000353;VIEW - S.R.L.;11;Società  a responsabilità  limitata;46.73.10;01811000353;VIEW - S.R.L.;11;Società  a responsabilità  limitata;46.73.10
M1C2I5.01.01;E91B21010090006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03555150360;ACETAIA CAZZOLA E FIORINI S.R.L..;11;Società  a responsabilità  limitata;10.84.00;03555150360;ACETAIA CAZZOLA E FIORINI S.R.L..;11;Società  a responsabilità  limitata;10.84.00
M1C2I5.01.01;E51B21005300006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01776500934;VI-TECHNIK S.R.L.;11;Società  a responsabilità  limitata;29.32.01;01776500934;VI-TECHNIK S.R.L.;11;Società  a responsabilità  limitata;29.32.01
M1C2I5.01.01;E41B21013090006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00181310046;TRUCCO TESSILE S.P.A.;10;Società  per azioni;14.11.00;00181310046;TRUCCO TESSILE S.P.A.;10;Società  per azioni;14.11.00
M1C2I5.01.01;E71B21010540006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03778280754;ISOPHARMA COSMETICS  S.R.L.;11;Società  a responsabilità  limitata;27.90.02;03778280754;ISOPHARMA COSMETICS  S.R.L.;11;Società  a responsabilità  limitata;27.90.02
